id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Device,Is Mobile Device,Platform,Step ID,Subcategory
46150784,51355,2017-01-23T02:51:09Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150785,15585,2017-01-23T02:51:21Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150786,1950983,2017-01-23T02:51:57Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150787,8212,2017-01-23T02:53:01Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150864,51076,2017-01-23T02:51:43Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46150865,1814126,2017-01-23T02:52:09Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46150866,34087,2017-01-23T02:52:18Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150867,37861,2017-01-23T02:53:12Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151143,10048,2017-01-23T02:52:51Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151144,18384,2017-01-23T02:52:56Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151145,1562687,2017-01-23T02:53:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151206,16149,2017-01-23T02:53:02Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151207,24432,2017-01-23T02:53:56Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,Win7,32635
46151240,16198,2017-01-23T02:54:20Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151241,9163,2017-01-23T02:54:40Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46151242,18524,2017-01-23T02:55:18Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46151421,13752,2017-01-23T02:55:17Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win8,28077
