id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Step ID
46145973,51320,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145974,51879,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145975,1849811,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145976,51215,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145977,51799,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145978,52551,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145979,51525,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145980,51663,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145981,51775,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145982,51142,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145983,52375,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145984,51877,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145985,52715,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145986,51458,2017-01-23T02:45:57Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145987,52480,2017-01-23T02:45:58Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145988,51134,2017-01-23T02:45:58Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145989,55477,2017-01-23T02:45:58Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145990,52338,2017-01-23T02:45:58Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145991,43174,2017-01-23T02:45:58Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145992,52348,2017-01-23T02:45:59Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145993,1006023,2017-01-23T02:45:59Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145994,1005923,2017-01-23T02:45:59Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145995,55481,2017-01-23T02:45:59Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145996,1927525,2017-01-23T02:46:01Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145997,51469,2017-01-23T02:46:01Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145998,1794710,2017-01-23T02:46:01Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145999,51210,2017-01-23T02:46:01Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146000,1011918,2017-01-23T02:46:01Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146001,1010346,2017-01-23T02:46:02Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146002,1021458,2017-01-23T02:46:02Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146003,50936,2017-01-23T02:46:03Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146004,1022023,2017-01-23T02:46:03Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146005,1012395,2017-01-23T02:46:05Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146006,1041960,2017-01-23T02:46:05Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146007,1016891,2017-01-23T02:46:05Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146008,1011216,2017-01-23T02:46:07Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46146009,1020779,2017-01-23T02:46:10Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
